paroles,28;
rambouillet,28;
eut,28;
l'hôtel,28;
lorsqu'elle,28;
aura,28;
parents,28;
renaissance,28;
quatre,28;
célèbre,28;
voulu,27;
l'amitié,27;
id,27;
années,27;
libre,27;
titre,27;
puissance,27;
bruyère,27;
affaires,27;
mot,27;
service,27;
nobles,27;
tel,27;
devient,27;
pages,27;
electronic,27;
dévouement,26;
remplir,26;
effet,26;
condé,26;
racine,26;
corps,26;
comtesse,26;
nécessaire,26;
fidèle,26;
vertus,26;
porte,26;
n'ont,26;
dès,26;
eût,26;
luy,26;
mgr,26;
aime,26;
publique,26;
combien,26;
généreuse,26;
maternelle,26;
montre,26;
c,25;
i,25;
fond,25;
littérature,25;
génie,25;
selon,25;
principe,25;
tels,25;
plaisir,25;
cousin,25;
bretagne,25;
voix,25;
richelieu,25;
larmes,25;
généralement,25;
compte,25;
traité,25;
condition,25;
d'avoir,25;
puis,25;
chercher,25;
s'y,25;
fayette,25;
amis,25;
conduite,25;
xiv,25;
ménage,25;
solide,25;
soeurs,25;
vraie,24;
belles,24;
sociale,24;
mille,24;
malheureusement,24;
mazarin,24;
douce,24;
lequel,24;
l'autorité,24;
respect,24;
prix,24;
maître,24;
sens,24;
godefroy,24;
vostre,24;
jusqu'au,24;
l'enseignement,24;
compagne,24;
exemples,23;
iv,23;
études,23;
parle,23;
cardinal,23;
d'honneur,23;
d'aguesseau,23;
nouveau,23;
épouse,23;
puisse,23;
salon,23;
cours,23;
poésie,23;
miramion,23;
vivre,23;
robe,23;
régime,23;
dernière,23;
ajoute,23;
exemple,23;
personnes,23;
maréchal,23;
soin,23;
d'autre,22;
l'art,22;
mariée,22;
petites,22;
sujet,22;
pauvre,22;
bonnes,22;
scudéry,22;
spectacle,22;
l'oeuvre,22;
ministre,22;
foundation,22;
humaine,22;
mourir,22;
travaux,22;
intellectuelle,22;
fléchier,22;
mains,22;
religieux,22;
mérite,22;
seront,22;
particulièrement,22;
telles,22;
royale,22;
créature,21;
molière,21;
quelles,21;
conscience,21;
terms,21;
public,21;
art,21;
partie,21;
l'auteur,21;
conseil,21;
soins,21;
gouvernement,21;
demander,21;
l'école,21;
beauté,21;
sage,21;
littéraire,21;
double,21;
sent,21;
facultés,21;
justice,21;
qualités,21;
voici,21;
oeuvre,21;
scène,20;
soient,20;
demeure,20;
rappelle,20;
heureuse,20;
quoi,20;
mouvement,20;
lumière,20;
écrivait,20;
tête,20;
seconde,20;
élevée,20;
valois,20;
suite,20;
l'époux,20;
tour,20;
plutôt,20;
laisse,20;
gustave,20;
chaque,20;
grandeur,20;
prie,20;
l'heure,20;
citée,20;
prend,20;
maintenant,20;
bourbon,20;
régente,20;
maîtresse,20;
jusque,20;
sauver,20;
juge,20;
style,19;
mauvais,19;
vieux,19;
vient,19;
malheur,19;
affection,19;
vingt,19;
l'étude,19;
campan,19;
conjugale,19;
l'intelligence,19;
noblesse,19;
élever,19;
bientôt,19;
tandis,19;
romans,19;
généreux,19;
volonté,19;
haute,19;
fonctions,19;
passer,19;
voyons,19;
dix,19;
ouvrages,19;
forme,19;
fallait,19;
ciel,19;
heures,19;
prière,19;
état,19;
admirable,19;
roy,19;
écoles,19;
vit,19;
vue,19;
contraire,19;
enfans,19;
vieille,19;
unes,19;
d'autant,19;
